献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
"2024/6/3","月","ごはん","ごはん","黄","626","24.2"
"2024/6/3","月","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2024/6/3","月","あじのなんばんづけ","あじ(でん粉付)","赤","",""
"2024/6/3","月","あじのなんばんづけ","こめあぶら","黄","",""
"2024/6/3","月","あじのなんばんづけ","さんおんとう","黄","",""
"2024/6/3","月","あじのなんばんづけ","こめず","","",""
"2024/6/3","月","あじのなんばんづけ","みりん","","",""
"2024/6/3","月","あじのなんばんづけ","こいくちしょうゆ","","",""
"2024/6/3","月","あじのなんばんづけ","ごまあぶら","黄","",""
"2024/6/3","月","あじのなんばんづけ","でんぷん","黄","",""
"2024/6/3","月","あじのなんばんづけ","水","","",""
"2024/6/3","月","にびたし","さつまあげ","赤","",""
"2024/6/3","月","にびたし","こまつな","緑","",""
"2024/6/3","月","にびたし","にんじん","緑","",""
"2024/6/3","月","にびたし","さんおんとう","黄","",""
"2024/6/3","月","にびたし","だしのもと","","",""
"2024/6/3","月","にびたし","こいくちしょうゆ","","",""
"2024/6/3","月","にびたし","みりん","","",""
"2024/6/3","月","にびたし","水","","",""
"2024/6/3","月","とりにくのすましじる","とりにく","赤","",""
"2024/6/3","月","とりにくのすましじる","たまねぎ","緑","",""
"2024/6/3","月","とりにくのすましじる","にんじん","緑","",""
"2024/6/3","月","とりにくのすましじる","みつば","緑","",""
"2024/6/3","月","とりにくのすましじる","とうふ","赤","",""
"2024/6/3","月","とりにくのすましじる","だしのもと","","",""
"2024/6/3","月","とりにくのすましじる","うすくちしょうゆ","","",""
"2024/6/3","月","とりにくのすましじる","せいしゅ","","",""
"2024/6/3","月","とりにくのすましじる","こめあぶら","黄","",""
"2024/6/3","月","とりにくのすましじる","水","","",""
"2024/6/4","火","コッペパン","コッペパン","黄","690","27.2"
"2024/6/4","火","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2024/6/4","火","ミートボール(2こ)","ミートボール","赤","",""
"2024/6/4","火","さやいんげんとコーンのソテー","さやいんげん","緑","",""
"2024/6/4","火","さやいんげんとコーンのソテー","とうもろこし","緑","",""
"2024/6/4","火","さやいんげんとコーンのソテー","ブラックペッパー","","",""
"2024/6/4","火","さやいんげんとコーンのソテー","コンソメスープ","","",""
"2024/6/4","火","さやいんげんとコーンのソテー","こめあぶら","黄","",""
"2024/6/4","火","イタリアンスパゲティ","スパゲティ","黄","",""
"2024/6/4","火","イタリアンスパゲティ","ウインナー","赤","",""
"2024/6/4","火","イタリアンスパゲティ","たまねぎ","緑","",""
"2024/6/4","火","イタリアンスパゲティ","にんじん","緑","",""
"2024/6/4","火","イタリアンスパゲティ","ピーマン","緑","",""
"2024/6/4","火","イタリアンスパゲティ","しめじ","緑","",""
"2024/6/4","火","イタリアンスパゲティ","あかワイン","","",""
"2024/6/4","火","イタリアンスパゲティ","しお","","",""
"2024/6/4","火","イタリアンスパゲティ","こしょう","","",""
"2024/6/4","火","イタリアンスパゲティ","トマトケチャップ","","",""
"2024/6/4","火","イタリアンスパゲティ","ウスターソース","","",""
"2024/6/4","火","イタリアンスパゲティ","とんかつソース","","",""
"2024/6/4","火","イタリアンスパゲティ","オリーブオイル","黄","",""
"2024/6/5","水","ごはん","ごはん","黄","645","21.6"
"2024/6/5","水","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2024/6/5","水","いかのてんぷら","いかのてんぷら","赤","",""
"2024/6/5","水","いかのてんぷら","こめあぶら","黄","",""
"2024/6/5","水","かぼちゃのそぼろに","とりミンチ","赤","",""
"2024/6/5","水","かぼちゃのそぼろに","かぼちゃ","緑","",""
"2024/6/5","水","かぼちゃのそぼろに","こめあぶら","黄","",""
"2024/6/5","水","かぼちゃのそぼろに","せいしゅ","","",""
"2024/6/5","水","かぼちゃのそぼろに","だしのもと","","",""
"2024/6/5","水","かぼちゃのそぼろに","うすくちしょうゆ","","",""
"2024/6/5","水","かぼちゃのそぼろに","ざらめ","黄","",""
