献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
2021/3/1,月,ごはん,ごはん,黄,738,22.7
2021/3/1,月,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/3/1,月,だいずカレー,だいず,赤,,
2021/3/1,月,だいずカレー,にんじん,緑,,
2021/3/1,月,だいずカレー,たまねぎ,緑,,
2021/3/1,月,だいずカレー,しめじ,緑,,
2021/3/1,月,だいずカレー,じゃがいも,黄,,
2021/3/1,月,だいずカレー,カレールウ,,,
2021/3/1,月,だいずカレー,水（ミキサー用）,,,
2021/3/1,月,だいずカレー,トマトケチャップ,,,
2021/3/1,月,だいずカレー,リンゴピューレ,緑,,
2021/3/1,月,だいずカレー,ウスターソース,,,
2021/3/1,月,だいずカレー,コンソメスープ,,,
2021/3/1,月,だいずカレー,あかワイン,,,
2021/3/1,月,だいずカレー,こしょう,,,
2021/3/1,月,だいずカレー,こめあぶら,黄,,
2021/3/1,月,だいずカレー,水,,,
2021/3/1,月,トンカツ,トンカツ,赤,,
2021/3/1,月,トンカツ,こめあぶら,黄,,
2021/3/1,月,だいこんサラダ,だいこん,緑,,
2021/3/1,月,だいこんサラダ,ササミ,赤,,
2021/3/1,月,だいこんサラダ,にんじん,緑,,
2021/3/1,月,だいこんサラダ,しそドレッシング,黄,,
2021/3/1,月,ミルメークコーヒー,ミルメークコーヒー,黄,,
2021/3/2,火,せわりパン,せわりパン,黄,546,22.9
2021/3/2,火,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/3/2,火,フランクフルト,フランクフルト,赤,,
2021/3/2,火,フランクフルト,トマトケチャップ,,,
2021/3/2,火,フランクフルト,さんおんとう,黄,,
2021/3/2,火,フランクフルト,ウスターソース,,,
2021/3/2,火,フランクフルト,とんかつソース,,,
2021/3/2,火,フランクフルト,でんぷん,黄,,
2021/3/2,火,フランクフルト,水,,,
2021/3/2,火,ボイルキャベツ,キャベツ,緑,,
2021/3/2,火,コンソメスープ,とりにく,赤,,
2021/3/2,火,コンソメスープ,にんじん,緑,,
2021/3/2,火,コンソメスープ,たまねぎ,緑,,
2021/3/2,火,コンソメスープ,さやいんげん,緑,,
2021/3/2,火,コンソメスープ,ニョッキ,黄,,
2021/3/2,火,コンソメスープ,コンソメスープ,,,
2021/3/2,火,コンソメスープ,せいしゅ,,,
2021/3/2,火,コンソメスープ,うすくちしょうゆ,,,
2021/3/2,火,コンソメスープ,しお,,,
