献立日,曜日,中学校献立名,中学校食品名,中学校食品群,エネルギー,たんぱく質
2021/5/6,木,食パン,食パン,5,809,30.6
2021/5/6,木,牛乳,牛乳,2,,
2021/5/6,木,いかメンチ,いかメンチ,1,,
2021/5/6,木,いかメンチ,こめ油,6,,
2021/5/6,木,ミートポテト,合びきミンチ,1,,
2021/5/6,木,ミートポテト,じゃがいも,5,,
2021/5/6,木,ミートポテト,たまねぎ,4,,
2021/5/6,木,ミートポテト,大豆（クラッシュ）,1,,
2021/5/6,木,ミートポテト,塩,,,
2021/5/6,木,ミートポテト,こしょう,,,
2021/5/6,木,ミートポテト,カレー粉,,,
2021/5/6,木,ミートポテト,赤ワイン,,,
2021/5/6,木,ミートポテト,ウスターソース,,,
2021/5/6,木,ミートポテト,こいくちしょうゆ,,,
2021/5/6,木,ミートポテト,トマトケチャップ,,,
2021/5/6,木,ミートポテト,こめ油,6,,
2021/5/6,木,コンソメスープ,キャベツ,4,,
2021/5/6,木,コンソメスープ,たまねぎ,4,,
2021/5/6,木,コンソメスープ,にんじん,3,,
2021/5/6,木,コンソメスープ,えりんぎ,4,,
2021/5/6,木,コンソメスープ,コンソメスープ,,,
2021/5/6,木,コンソメスープ,うすくちしょうゆ,,,
2021/5/6,木,コンソメスープ,こしょう,,,
2021/5/6,木,コンソメスープ,水,,,
2021/5/7,金,わかめごはん,ごはん,5,750,30
2021/5/7,金,わかめごはん,わかめごはんの具,2,,
2021/5/7,金,牛乳,牛乳,2,,
2021/5/7,金,五目厚焼卵,五目厚焼卵,1,,
2021/5/7,金,豚肉と高菜の炒め物,豚肉,1,,
2021/5/7,金,豚肉と高菜の炒め物,清酒,,,
2021/5/7,金,豚肉と高菜の炒め物,ごま油,6,,
2021/5/7,金,豚肉と高菜の炒め物,にんじん,3,,
2021/5/7,金,豚肉と高菜の炒め物,もやし,4,,
2021/5/7,金,豚肉と高菜の炒め物,高菜漬,3,,
2021/5/7,金,豚肉と高菜の炒め物,白いりごま,6,,
