献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
2021/5/6,木,しょくパン,しょくパン,黄,694,26.7
2021/5/6,木,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/6,木,いかメンチ,いかメンチ,赤,,
2021/5/6,木,いかメンチ,こめあぶら,黄,,
2021/5/6,木,ミートポテト,あいびきミンチ,赤,,
2021/5/6,木,ミートポテト,じゃがいも,黄,,
2021/5/6,木,ミートポテト,たまねぎ,緑,,
2021/5/6,木,ミートポテト,にんじん,緑,,
2021/5/6,木,ミートポテト,だいず（クラッシュ）,赤,,
2021/5/6,木,ミートポテト,しお,,,
2021/5/6,木,ミートポテト,こしょう,,,
2021/5/6,木,ミートポテト,カレーこ,,,
2021/5/6,木,ミートポテト,あかワイン,,,
2021/5/6,木,ミートポテト,ウスターソース,,,
2021/5/6,木,ミートポテト,こいくちしょうゆ,,,
2021/5/6,木,ミートポテト,トマトケチャップ,,,
2021/5/6,木,ミートポテト,こめあぶら,黄,,
2021/5/6,木,コンソメスープ,キャベツ,緑,,
2021/5/6,木,コンソメスープ,たまねぎ,緑,,
2021/5/6,木,コンソメスープ,にんじん,緑,,
2021/5/6,木,コンソメスープ,えりんぎ,緑,,
2021/5/6,木,コンソメスープ,コンソメスープ,,,
2021/5/6,木,コンソメスープ,うすくちしょうゆ,,,
2021/5/6,木,コンソメスープ,こしょう,,,
2021/5/6,木,コンソメスープ,水,,,
2021/5/7,金,わかめごはん,ごはん,黄,621,23.1
2021/5/7,金,わかめごはん,わかめごはんのぐ,赤,,
2021/5/7,金,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/7,金,ぶたにくとたかなのいためもの,ぶたにく,赤,,
2021/5/7,金,ぶたにくとたかなのいためもの,せいしゅ,,,
2021/5/7,金,ぶたにくとたかなのいためもの,ごまあぶら,黄,,
2021/5/7,金,ぶたにくとたかなのいためもの,にんじん,緑,,
2021/5/7,金,ぶたにくとたかなのいためもの,もやし,緑,,
2021/5/7,金,ぶたにくとたかなのいためもの,たかなづけ,緑,,
2021/5/7,金,ぶたにくとたかなのいためもの,しろいりごま,黄,,
2021/5/7,金,ぶたにくとたかなのいためもの,さんおんとう,黄,,
2021/5/7,金,ぶたにくとたかなのいためもの,みりん,,,
2021/5/7,金,ぶたにくとたかなのいためもの,うすくちしょうゆ,,,
2021/5/7,金,すましじる,たまねぎ,緑,,
2021/5/7,金,すましじる,みつば,緑,,
2021/5/7,金,すましじる,とうふ,赤,,
2021/5/7,金,すましじる,えのきたけ,緑,,
2021/5/7,金,すましじる,はなふ,黄,,
2021/5/7,金,すましじる,だしのもと,,,
2021/5/7,金,すましじる,うすくちしょうゆ,,,
2021/5/7,金,すましじる,みりん,,,
2021/5/7,金,すましじる,水,,,
2021/5/7,金,きんときにまめ,きんときにまめ,赤,,
2021/5/10,月,ごはん,ごはん,黄,639,24.9
2021/5/10,月,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/10,月,いわしのしょうがに,いわしのしょうがに,赤,,
2021/5/10,月,れんこんのあまずいため,ベーコン,赤,,
2021/5/10,月,れんこんのあまずいため,れんこん,緑,,
2021/5/10,月,れんこんのあまずいため,にんじん,緑,,
2021/5/10,月,れんこんのあまずいため,こめあぶら,黄,,
2021/5/10,月,れんこんのあまずいため,さんおんとう,黄,,
2021/5/10,月,れんこんのあまずいため,うすくちしょうゆ,,,
2021/5/10,月,れんこんのあまずいため,こめず,,,
2021/5/10,月,ごまじる,うすあげ,赤,,
2021/5/10,月,ごまじる,きりぼしだいこん,緑,,
2021/5/10,月,ごまじる,にんじん,緑,,
2021/5/10,月,ごまじる,ほうれんそう,緑,,
2021/5/10,月,ごまじる,ねぎ,緑,,
2021/5/10,月,ごまじる,みりん,,,
2021/5/10,月,ごまじる,だしのもと,,,
2021/5/10,月,ごまじる,ねりごま,黄,,
2021/5/10,月,ごまじる,みそ,赤,,
2021/5/10,月,ごまじる,水（ミキサー用）,,,
2021/5/10,月,ごまじる,水,,,
2021/5/11,火,こめこパン,こめこパン,黄,639,28.2
2021/5/11,火,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/11,火,にくだんご（2こ）,にくだんご,赤,,
2021/5/11,火,もやしとにらのいためもの,もやし,緑,,
2021/5/11,火,もやしとにらのいためもの,にら,緑,,
2021/5/11,火,もやしとにらのいためもの,とうもろこし,緑,,
2021/5/11,火,もやしとにらのいためもの,ブラックペッパー,,,
2021/5/11,火,もやしとにらのいためもの,コンソメスープ,,,
2021/5/11,火,もやしとにらのいためもの,うすくちしょうゆ,,,
2021/5/11,火,もやしとにらのいためもの,こめあぶら,黄,,
2021/5/11,火,あつあげのちゅうかに,ぶたミンチ,赤,,
2021/5/11,火,あつあげのちゅうかに,あつあげ,赤,,
2021/5/11,火,あつあげのちゅうかに,たまねぎ,緑,,
2021/5/11,火,あつあげのちゅうかに,チンゲンサイ,緑,,
2021/5/11,火,あつあげのちゅうかに,たけのこ,緑,,
2021/5/11,火,あつあげのちゅうかに,にんじん,緑,,
2021/5/11,火,あつあげのちゅうかに,おろししょうが,,,
2021/5/11,火,あつあげのちゅうかに,おろしにんにく,,,
2021/5/11,火,あつあげのちゅうかに,こしょう,,,
2021/5/11,火,あつあげのちゅうかに,こいくちしょうゆ,,,
2021/5/11,火,あつあげのちゅうかに,オイスターソース,,,
2021/5/11,火,あつあげのちゅうかに,しお,,,
2021/5/11,火,あつあげのちゅうかに,でんぷん,黄,,
2021/5/11,火,あつあげのちゅうかに,ごまあぶら,黄,,
2021/5/11,火,あつあげのちゅうかに,ちゅうかスープ,,,
2021/5/11,火,あつあげのちゅうかに,水,,,
2021/5/11,火,アセロラゼリー,アセロラゼリー,黄,,
2021/5/12,水,ごはん,ごはん,黄,686,24.8
2021/5/12,水,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/12,水,きびなごのてんぷら（2び）,きびなごのてんぷら,赤,,
2021/5/12,水,きびなごのてんぷら（2び）,こめあぶら,黄,,
2021/5/12,水,ぶたじゃが,ぶたにく,赤,,
2021/5/12,水,ぶたじゃが,にんじん,緑,,
2021/5/12,水,ぶたじゃが,たまねぎ,緑,,
2021/5/12,水,ぶたじゃが,じゃがいも,黄,,
2021/5/12,水,ぶたじゃが,いとこんにゃく,黄,,
2021/5/12,水,ぶたじゃが,さやいんげん,緑,,
2021/5/12,水,ぶたじゃが,こめあぶら,黄,,
2021/5/12,水,ぶたじゃが,だしのもと,,,
2021/5/12,水,ぶたじゃが,せいしゅ,,,
2021/5/12,水,ぶたじゃが,こいくちしょうゆ,,,
2021/5/12,水,ぶたじゃが,ざらめ,黄,,
2021/5/12,水,ぶたじゃが,水,,,
2021/5/12,水,ひじきとだいずのサラダ,ひじき,赤,,
2021/5/12,水,ひじきとだいずのサラダ,だいず,赤,,
2021/5/12,水,ひじきとだいずのサラダ,にんじん,緑,,
2021/5/12,水,ひじきとだいずのサラダ,えだまめ,緑,,
2021/5/12,水,ひじきとだいずのサラダ,こいくちしょうゆ,,,
2021/5/12,水,ひじきとだいずのサラダ,しおドレッシング,黄,,
2021/5/13,木,コッペパン,コッペパン,黄,686,27
2021/5/13,木,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/13,木,デミグラスハンバーグ,ハンバーグ,赤,,
2021/5/13,木,デミグラスハンバーグ,さんおんとう,黄,,
2021/5/13,木,デミグラスハンバーグ,デミグラスソース,,,
2021/5/13,木,デミグラスハンバーグ,トマトベースソース,,,
2021/5/13,木,デミグラスハンバーグ,リンゴピューレ,緑,,
2021/5/13,木,デミグラスハンバーグ,スープストック,,,
2021/5/13,木,デミグラスハンバーグ,こしょう,,,
2021/5/13,木,デミグラスハンバーグ,しお,,,
2021/5/13,木,ツナとアスパラのサラダ,ツナ（みずに）,赤,,
2021/5/13,木,ツナとアスパラのサラダ,アスパラガス,緑,,
2021/5/13,木,ツナとアスパラのサラダ,とうもろこし,緑,,
2021/5/13,木,パックマヨネーズ,パックマヨネーズ（ノンエッグ）,黄,,
2021/5/13,木,レタスのスープ,たまねぎ,緑,,
2021/5/13,木,レタスのスープ,にんじん,緑,,
2021/5/13,木,レタスのスープ,レタス,緑,,
2021/5/13,木,レタスのスープ,ニョッキ,黄,,
2021/5/13,木,レタスのスープ,コンソメスープ,,,
2021/5/13,木,レタスのスープ,うすくちしょうゆ,,,
2021/5/13,木,レタスのスープ,こしょう,,,
2021/5/13,木,レタスのスープ,水,,,
2021/5/13,木,ヨーグルト,ヨーグルト,赤,,
2021/5/14,金,ごはん,ごはん,黄,638,27.1
2021/5/14,金,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/14,金,とりにくのてりやき,とりにく,赤,,
2021/5/14,金,とりにくのてりやき,おろししょうが,,,
2021/5/14,金,とりにくのてりやき,せいしゅ,,,
2021/5/14,金,とりにくのてりやき,こいくちしょうゆ,,,
2021/5/14,金,とりにくのてりやき,さんおんとう,黄,,
2021/5/14,金,とりにくのてりやき,みりん,,,
2021/5/14,金,とりにくのてりやき,でんぷん,黄,,
2021/5/14,金,とりにくのてりやき,水,,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,あぶらふ,黄,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,さんさいミックス,緑,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,たまねぎ,緑,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,たまご,赤,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,こめあぶら,黄,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,だしのもと,,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,さんおんとう,黄,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,こいくちしょうゆ,,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,みりん,,,
2021/5/14,金,さんさいとあぶらふのたまごとじ,水,,,
2021/5/14,金,ながいものみそしる,たまねぎ,緑,,
2021/5/14,金,ながいものみそしる,にんじん,緑,,
2021/5/14,金,ながいものみそしる,ねぎ,緑,,
2021/5/14,金,ながいものみそしる,ながいも,黄,,
2021/5/14,金,ながいものみそしる,ごぼう,緑,,
2021/5/14,金,ながいものみそしる,みそ,赤,,
2021/5/14,金,ながいものみそしる,水（ミキサー用）,,,
2021/5/14,金,ながいものみそしる,だしのもと,,,
2021/5/14,金,ながいものみそしる,水,,,
2021/5/17,月,ごはん,ごはん,黄,659,22.6
2021/5/17,月,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/17,月,かきあげ,さつまいものかきあげ,黄,,
2021/5/17,月,かきあげ,こめあぶら,黄,,
2021/5/17,月,じゃこピーマン,ちりめんじゃこ,赤,,
2021/5/17,月,じゃこピーマン,ピーマン,緑,,
2021/5/17,月,じゃこピーマン,しろいりごま,黄,,
2021/5/17,月,じゃこピーマン,うすくちしょうゆ,,,
2021/5/17,月,じゃこピーマン,さんおんとう,黄,,
2021/5/17,月,じゃこピーマン,せいしゅ,,,
2021/5/17,月,じゃこピーマン,みりん,,,
2021/5/17,月,じゃこピーマン,こめあぶら,黄,,
2021/5/17,月,かしわのすましじる,とりにく,赤,,
2021/5/17,月,かしわのすましじる,たまねぎ,緑,,
2021/5/17,月,かしわのすましじる,にんじん,緑,,
2021/5/17,月,かしわのすましじる,しいたけ,緑,,
2021/5/17,月,かしわのすましじる,ねぎ,緑,,
2021/5/17,月,かしわのすましじる,だしのもと,,,
2021/5/17,月,かしわのすましじる,みりん,,,
2021/5/17,月,かしわのすましじる,せいしゅ,,,
2021/5/17,月,かしわのすましじる,うすくちしょうゆ,,,
2021/5/17,月,かしわのすましじる,水,,,
2021/5/18,火,コッペパン,コッペパン,黄,651,29.1
2021/5/18,火,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/18,火,とりにくのレモンソース,とりにく,赤,,
2021/5/18,火,とりにくのレモンソース,レモンじる,緑,,
2021/5/18,火,とりにくのレモンソース,さんおんとう,黄,,
2021/5/18,火,とりにくのレモンソース,こいくちしょうゆ,,,
2021/5/18,火,とりにくのレモンソース,でんぷん,黄,,
2021/5/18,火,とりにくのレモンソース,水,,,
2021/5/18,火,ごぼうサラダ,ごぼう,緑,,
2021/5/18,火,ごぼうサラダ,えだまめ,緑,,
2021/5/18,火,ごぼうサラダ,ごまドレッシング,黄,,
2021/5/18,火,はるやさいのスープに,ウインナー,赤,,
2021/5/18,火,はるやさいのスープに,じゃがいも,黄,,
2021/5/18,火,はるやさいのスープに,たまねぎ,緑,,
2021/5/18,火,はるやさいのスープに,にんじん,緑,,
2021/5/18,火,はるやさいのスープに,キャベツ,緑,,
2021/5/18,火,はるやさいのスープに,こめあぶら,黄,,
2021/5/18,火,はるやさいのスープに,コンソメスープ,,,
2021/5/18,火,はるやさいのスープに,こしょう,,,
2021/5/18,火,はるやさいのスープに,うすくちしょうゆ,,,
2021/5/18,火,はるやさいのスープに,水,,,
2021/5/18,火,メープルジャム,メープルジャム,黄,,
2021/5/19,水,ごはん,ごはん,黄,637,23.4
2021/5/19,水,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/19,水,あじのなんばんづけ（２び）,まめあじ（でんぷんつき）,赤,,
2021/5/19,水,あじのなんばんづけ（２び）,こめあぶら,黄,,
2021/5/19,水,あじのなんばんづけ（２び）,さんおんとう,黄,,
2021/5/19,水,あじのなんばんづけ（２び）,こめず,,,
2021/5/19,水,あじのなんばんづけ（２び）,みりん,,,
2021/5/19,水,あじのなんばんづけ（２び）,こいくちしょうゆ,,,
2021/5/19,水,あじのなんばんづけ（２び）,ごまあぶら,黄,,
2021/5/19,水,あじのなんばんづけ（２び）,水,,,
2021/5/19,水,こまつなのごまあえ,こまつな,緑,,
2021/5/19,水,こまつなのごまあえ,もやし,緑,,
2021/5/19,水,こまつなのごまあえ,にんじん,緑,,
2021/5/19,水,こまつなのごまあえ,しろいりごま,黄,,
2021/5/19,水,こまつなのごまあえ,しろすりごま,黄,,
2021/5/19,水,こまつなのごまあえ,だししょうゆ,,,
2021/5/19,水,こしねじる,とうふ,赤,,
2021/5/19,水,こしねじる,うすあげ,赤,,
2021/5/19,水,こしねじる,にんじん,緑,,
2021/5/19,水,こしねじる,ラッキーにんじん,緑,,
2021/5/19,水,こしねじる,ごぼう,緑,,
2021/5/19,水,こしねじる,かくこんにゃく,黄,,
2021/5/19,水,こしねじる,しいたけ,緑,,
2021/5/19,水,こしねじる,しろねぎ,緑,,
2021/5/19,水,こしねじる,みそ,赤,,
2021/5/19,水,こしねじる,水（ミキサー用）,,,
2021/5/19,水,こしねじる,だしのもと,,,
2021/5/19,水,こしねじる,うすくちしょうゆ,,,
2021/5/19,水,こしねじる,こめあぶら,黄,,
2021/5/19,水,こしねじる,水,,,
2021/5/20,木,コッペパン,コッペパン,黄,681,27.2
2021/5/20,木,ぎゅうにゅう,ぎゅうにゅう,赤,,
2021/5/20,木,かつおフライ,かつおフライ,赤,,
2021/5/20,木,かつおフライ,こめあぶら,黄,,
2021/5/20,木,ペンネのケチャップソテー,ベーコン,赤,,
2021/5/20,木,ペンネのケチャップソテー,マカロニ（ペンネ）,黄,,
2021/5/20,木,ペンネのケチャップソテー,たまねぎ,緑,,
2021/5/20,木,ペンネのケチャップソテー,えりんぎ,緑,,
