献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
"2021/4/8","木","コッペパン","コッペパン","黄","575","28.0"
"2021/4/8","木","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/8","木","たらのスイートチリソースかけ","タラ（かくぎり）","赤","",""
"2021/4/8","木","たらのスイートチリソースかけ","でんぷん","黄","",""
"2021/4/8","木","たらのスイートチリソースかけ","こめあぶら","黄","",""
"2021/4/8","木","たらのスイートチリソースかけ","さんおんとう","黄","",""
"2021/4/8","木","たらのスイートチリソースかけ","こめず","","",""
"2021/4/8","木","たらのスイートチリソースかけ","みりん","","",""
"2021/4/8","木","たらのスイートチリソースかけ","トウバンジャン","","",""
"2021/4/8","木","たらのスイートチリソースかけ","ガーリック","","",""
"2021/4/8","木","たらのスイートチリソースかけ","でんぷん","黄","",""
"2021/4/8","木","たらのスイートチリソースかけ","水","","",""
"2021/4/8","木","もやしのいためもの","もやし","緑","",""
"2021/4/8","木","もやしのいためもの","とうもろこし","緑","",""
"2021/4/8","木","もやしのいためもの","ブラックペッパー","","",""
"2021/4/8","木","もやしのいためもの","コンソメスープ","","",""
"2021/4/8","木","もやしのいためもの","うすくちしょうゆ","","",""
"2021/4/8","木","もやしのいためもの","こめあぶら","黄","",""
"2021/4/8","木","フォーガー","フォー","黄","",""
"2021/4/8","木","フォーガー","とりにく","赤","",""
"2021/4/8","木","フォーガー","しろねぎ","緑","",""
"2021/4/8","木","フォーガー","チンゲンサイ","緑","",""
"2021/4/8","木","フォーガー","にんじん","緑","",""
"2021/4/8","木","フォーガー","ちゅうかスープ","","",""
"2021/4/8","木","フォーガー","うすくちしょうゆ","","",""
"2021/4/8","木","フォーガー","しお","","",""
"2021/4/8","木","フォーガー","せいしゅ","","",""
"2021/4/8","木","フォーガー","おろししょうが","","",""
"2021/4/8","木","フォーガー","こしょう","","",""
"2021/4/8","木","フォーガー","水","","",""
"2021/4/8","木","ブルーベリージャム","ブルーベリージャム","緑","",""
"2021/4/9","金","ごはん","ごはん","黄","651","23.9"
"2021/4/9","金","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/9","金","ビビンバ","ぎゅうにく","赤","",""
"2021/4/9","金","ビビンバ","こめあぶら","黄","",""
"2021/4/9","金","ビビンバ","せいしゅ","","",""
"2021/4/9","金","ビビンバ","カットほうれんそう","緑","",""
"2021/4/9","金","ビビンバ","にんじん","緑","",""
"2021/4/9","金","ビビンバ","もやし","緑","",""
"2021/4/9","金","ビビンバ","さんおんとう","黄","",""
"2021/4/9","金","ビビンバ","みりん","","",""
"2021/4/9","金","ビビンバ","こいくちしょうゆ","","",""
"2021/4/9","金","ビビンバ","でんぷん","黄","",""
"2021/4/9","金","にらのナムル","にら","緑","",""
"2021/4/9","金","にらのナムル","きりぼしだいこん","緑","",""
"2021/4/9","金","にらのナムル","にんじん","緑","",""
"2021/4/9","金","にらのナムル","ナムルドレッシング","黄","",""
"2021/4/9","金","トックスープ","トック","黄","",""
"2021/4/9","金","トックスープ","やきぶた","赤","",""
"2021/4/9","金","トックスープ","たまねぎ","緑","",""
"2021/4/9","金","トックスープ","とうふ","赤","",""
"2021/4/9","金","トックスープ","ねぎ","緑","",""
"2021/4/9","金","トックスープ","ちゅうかスープ","","",""
"2021/4/9","金","トックスープ","うすくちしょうゆ","","",""
"2021/4/9","金","トックスープ","こしょう","","",""
"2021/4/9","金","トックスープ","ごまあぶら","黄","",""
"2021/4/9","金","トックスープ","水","","",""
"2021/4/12","月","ごはん","ごはん","黄","671","20.4"
"2021/4/12","月","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/12","月","あげぎょうざ(２こ)","ぎょうざ","赤","",""
"2021/4/12","月","あげぎょうざ(２こ)","こめあぶら","黄","",""
"2021/4/12","月","ちゅうかあえ","にんじん","緑","",""
"2021/4/12","月","ちゅうかあえ","きりぼしだいこん","緑","",""
"2021/4/12","月","ちゅうかあえ","きゅうり","緑","",""
"2021/4/12","月","ちゅうかあえ","もやし","緑","",""
"2021/4/12","月","ちゅうかあえ","こめあぶら","黄","",""
"2021/4/12","月","ちゅうかあえ","うすくちしょうゆ","","",""
"2021/4/12","月","ちゅうかあえ","さんおんとう","黄","",""
"2021/4/12","月","ちゅうかあえ","こめず","","",""
"2021/4/12","月","ちゅうかあえ","みりん","","",""
"2021/4/12","月","スーミータン","たまご","赤","",""
"2021/4/12","月","スーミータン","やきぶた","赤","",""
"2021/4/12","月","スーミータン","たまねぎ","緑","",""
"2021/4/12","月","スーミータン","とうふ","赤","",""
"2021/4/12","月","スーミータン","クリームコーン","緑","",""
"2021/4/12","月","スーミータン","えのきたけ","緑","",""
"2021/4/12","月","スーミータン","ちゅうかスープ","","",""
"2021/4/12","月","スーミータン","せいしゅ","","",""
"2021/4/12","月","スーミータン","うすくちしょうゆ","","",""
"2021/4/12","月","スーミータン","みりん","","",""
"2021/4/12","月","スーミータン","しお","","",""
"2021/4/12","月","スーミータン","こしょう","","",""
"2021/4/12","月","スーミータン","でんぷん","黄","",""
"2021/4/12","月","スーミータン","水","","",""
"2021/4/13","火","コッペパン","コッペパン","黄","626","23.9"
"2021/4/13","火","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/13","火","ポークビーンズ","ぶたにく","赤","",""
"2021/4/13","火","ポークビーンズ","たまねぎ","緑","",""
"2021/4/13","火","ポークビーンズ","にんじん","緑","",""
"2021/4/13","火","ポークビーンズ","じゃがいも","黄","",""
"2021/4/13","火","ポークビーンズ","ミックスまめ","赤","",""
"2021/4/13","火","ポークビーンズ","こめあぶら","黄","",""
"2021/4/13","火","ポークビーンズ","こしょう","","",""
"2021/4/13","火","ポークビーンズ","あかワイン","","",""
"2021/4/13","火","ポークビーンズ","ビーフシチューのもと","","",""
"2021/4/13","火","ポークビーンズ","水（ミキサー用）","","",""
"2021/4/13","火","ポークビーンズ","リンゴピューレ","緑","",""
"2021/4/13","火","ポークビーンズ","トマトケチャップ","","",""
"2021/4/13","火","ポークビーンズ","ウスターソース","","",""
"2021/4/13","火","ポークビーンズ","スープストック","","",""
"2021/4/13","火","ポークビーンズ","ローリエ","","",""
"2021/4/13","火","ポークビーンズ","水","","",""
